DEPARTAMENTO,PROVINCIA,DISTRITO,ubigeo,Poblacion,IDH2019,Educ_sec_comp2019_pct,NBI2017_pct,Viv_sin_serv_hig2017_pct,queen_interseccion_lisa,queen_interseccion_moran_i,queen_interseccion_p,queen_interseccion_n,rook_frontera_compartida_lisa,rook_frontera_compartida_moran_i,rook_frontera_compartida_p,rook_frontera_compartida_n,knn_4_centroides_lisa,knn_4_centroides_moran_i,knn_4_centroides_p,knn_4_centroides_n,banda_distancia_27_km_lisa,banda_distancia_27_km_moran_i,banda_distancia_27_km_p,banda_distancia_27_km_n
Lima,HUAROCHIRI,SAN LORENZO DE QUINTI,PE150721,1547,0.39818906935986487,56.65137045080875,42.2,34.8,3 no_pattern,0.2628750946537406,0.124,9,3 no_pattern,0.2792101190117199,0.114,8,4 coldSpot,0.6092488942087875,0.014,4,4 coldSpot,0.414773057637291,0.008,10
Lima,LIMA,SAN LUIS,PE150134,59377,0.7932581306844921,80.69904096659818,9.4,0.0,3 no_pattern,0.8646361336982498,0.07,5,3 no_pattern,0.8646361336982498,0.07,5,2 hotSpot,0.9486165780186595,0.05,4,2 hotSpot,0.9130917841305431,0.002,33
Lima,CANETE,SAN LUIS,PE150514,13420,0.68516251502848,77.07749519928672,22.1,7.1,2 hotSpot,1.0043754946167562,0.032,3,2 hotSpot,1.0043754946167562,0.046,3,3 no_pattern,0.7758452370620355,0.06,4,2 hotSpot,0.8293825726154126,0.026,5
Lima,LIMA,SAN MARTIN DE PORRES,PE150135,741417,0.7419979630670723,79.00446395716813,11.1,0.2,3 no_pattern,0.7792699729133667,0.06,5,3 no_pattern,0.7792699729133667,0.058,5,3 no_pattern,0.8314185491706055,0.074,4,2 hotSpot,0.8329064783248331,0.002,30
Lima,HUAROCHIRI,SAN MATEO,PE150722,5120,0.5875492687605783,60.278545344599074,35.5,12.4,3 no_pattern,0.10387572439904436,0.318,7,3 no_pattern,0.10387572439904436,0.306,7,3 no_pattern,0.19353744701776307,0.182,4,3 no_pattern,0.06354793236373338,0.518,7
Lima,HUAROCHIRI,SAN MATEO DE OTAO,PE150723,1599,0.42007186086310294,66.65355380512736,43.7,29.5,3 no_pattern,0.07887830232944755,0.08,9,3 no_pattern,0.08503606316935583,0.074,8,3 no_pattern,0.062125618692539256,0.368,4,3 no_pattern,-0.009156003458303159,0.802,15
Lima,LIMA,SAN MIGUEL,PE150136,139399,0.8224006497057281,76.66408959706945,4.5,0.0,3 no_pattern,0.8541678769979821,0.062,3,3 no_pattern,0.8541678769979821,0.054,3,2 hotSpot,0.8829351654704944,0.032,4,2 hotSpot,0.7214092955424505,0.002,29
Lima,HUARAL,SAN MIGUEL DE ACOS,PE150609,777,0.5624149606467331,72.4770112244765,43.6,28.4,3 no_pattern,-0.168605275078061,0.498,5,3 no_pattern,-0.032710668412253965,0.892,4,3 no_pattern,-0.09752579197502817,0.69,4,3 no_pattern,-0.15905928611047582,0.39,8
Lima,HUAROCHIRI,SAN PEDRO DE CASTA,PE150724,1325,0.41444124766127294,64.98721495999916,41.3,27.1,3 no_pattern,-0.002174962826130963,0.862,6,3 no_pattern,-0.002174962826130963,0.864,6,3 no_pattern,0.0079494751816844,0.614,4,3 no_pattern,0.0024292141703134264,0.7,18
Lima,HUAROCHIRI,SAN PEDRO DE HUANCAYRE,PE150725,248,0.34348197852638773,49.232738606059975,30.5,15.1,3 no_pattern,0.8596841056966974,0.108,4,3 no_pattern,0.8596841056966974,0.07,4,3 no_pattern,0.8596841056966974,0.07,4,4 coldSpot,0.9104161867652606,0.004,13
Lima,YAUYOS,SAN PEDRO DE PILAS,PE151027,364,0.3312006542162982,65.91151349801964,25.5,7.8,3 no_pattern,-0.0717482421974368,0.2,3,3 no_pattern,-0.0717482421974368,0.162,3,1 hotOutlier,-0.08863123620959247,0.048,4,1 hotOutlier,-0.07891389021356747,0.01,10
Lima,CANETE,SAN VICENTE DE CANETE,PE150501,58091,0.7067903522986189,82.80316671539224,25.1,7.7,2 hotSpot,1.2529009670910958,0.042,4,2 hotSpot,1.2529009670910958,0.046,4,2 hotSpot,1.2529009670910958,0.05,4,2 hotSpot,1.2529009670910958,0.034,4
Lima,HUAROCHIRI,SANGALLAYA,PE150726,569,0.3726100718472872,41.02728217171666,46.5,35.2,3 no_pattern,0.5339308663956807,0.458,5,3 no_pattern,0.9246642812100978,0.248,4,3 no_pattern,0.5151398022927441,0.508,4,4 coldSpot,1.2722974928988244,0.006,14
Lima,LIMA,SANTA ANITA,PE150137,242026,0.7347309224519117,76.47981423089655,14.3,0.0,3 no_pattern,0.5662082497876749,0.342,2,3 no_pattern,0.5662082497876749,0.294,2,3 no_pattern,0.6676754670635398,0.09,4,2 hotSpot,0.677073169914557,0.002,34
Lima,HUARAL,SANTA CRUZ DE ANDAMARCA,PE150610,1469,0.5338535285307585,65.94611570754564,25.8,18.2,3 no_pattern,-0.05198746609331902,0.47,2,3 no_pattern,-0.05198746609331902,0.422,2,3 no_pattern,-0.05413954357946928,0.288,4,3 no_pattern,-0.05413954357946928,0.29,4
Lima,HUAROCHIRI,SANTA CRUZ DE COCACHACRA,PE150727,2541,0.6317529469312205,77.61396439072985,23.5,2.3,3 no_pattern,0.03757006628023174,0.914,6,3 no_pattern,-0.0019326581570763349,0.998,5,3 no_pattern,-0.006151196884865481,0.994,4,3 no_pattern,-0.10500218581383244,0.554,18
Lima,CANETE,SANTA CRUZ DE FLORES,PE150515,2898,0.7021482235238086,89.2150430544199,27.0,2.9,2 hotSpot,1.8237595606576897,0.016,4,2 hotSpot,1.8237595606576897,0.022,4,2 hotSpot,1.5173843385564028,0.044,4,2 hotSpot,1.2606088339368757,0.04,7
Lima,HUAROCHIRI,SANTA EULALIA,PE150728,12476,0.6355695265285654,68.47696135896219,23.6,5.2,3 no_pattern,0.009578453271016547,0.926,7,3 no_pattern,-0.028005752594942708,0.814,6,3 no_pattern,0.08429692721975371,0.56,4,3 no_pattern,0.028103355710913575,0.682,16
Lima,HUAURA,SANTA LEONOR,PE150809,1462,0.3172923408645138,64.37531480277559,41.6,32.4,3 no_pattern,0.006346671536606338,0.12,6,3 no_pattern,0.006346671536606338,0.12,6,3 no_pattern,0.005847671679095233,0.234,4,3 no_pattern,0.0044799266730365965,0.302,5
